snr,seed,e1_rerun,original_e14,diff
0,0,1.0,1.0,0.0
0,1,1.0,1.0,0.0
0,2,1.0,1.0,0.0
0,3,1.0,1.0,0.0
0,4,1.0,1.0,0.0
-2,0,1.0,1.0,0.0
-2,1,1.0,1.0,0.0
-2,2,1.0,1.0,0.0
-2,3,1.0,1.0,0.0
-2,4,1.0,1.0,0.0
-4,0,1.0,1.0,0.0
-4,1,1.0,1.0,0.0
-4,2,1.0,1.0,0.0
-4,3,1.0,1.0,0.0
-4,4,1.0,1.0,0.0
-6,0,1.0,1.0,0.0
-6,1,1.0,1.0,0.0
-6,2,1.0,1.0,0.0
-6,3,0.9991503823279524,0.9991503823279524,0.0
-6,4,1.0,1.0,0.0
-8,0,0.9872557349192863,0.9855564995751912,0.001699235344095107
-8,1,0.989804587935429,0.9906542056074766,-0.000849617672047609
-8,2,0.9915038232795242,0.989804587935429,0.001699235344095218
-8,3,0.9906542056074766,0.989804587935429,0.000849617672047609
-8,4,0.989804587935429,0.989804587935429,0.0
